state (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
educate.v.03,1,teach or refine to be discriminative in taste or judgment,0,0,1,0,educate
relationship.n.01,1,"a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)",0,1,0,0,relationship
record.v.04,1,be aware of,0,0,0,0,record
impart.v.03,1,transmit or serve as the medium for transmission,0,0,1,1,carry
record.v.01,1,make a record of; set down in permanent form,0,0,0,0,record
preach.v.02,1,"speak, plead, or argue in favor of",0,0,1,0,preach
edit.v.03,1,cut and assemble the components of,0,0,0,0,edit
economist.n.01,1,an expert in the science of economics,0,0,1,1,economist
research_worker.n.01,1,a scientist who devotes himself to doing research,0,0,1,1,researcher
structure.n.01,1,a thing constructed; a complex entity constructed of many parts,0,0,0,0,construction
friend.n.05,1,a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers),0,1,0,0,friend
teacher.n.01,1,a person whose occupation is teaching,0,0,1,0,teacher
administrator.n.02,1,the party appointed by a probate court to distribute the estate of someone who dies without a will or without naming an executor,0,0,1,0,administrator
translator.n.03,1,a program that translates one programming language into another,0,0,1,0,translator
commentator.n.02,1,a writer who reports and analyzes events of the day,0,0,1,0,commentator
learner.n.01,1,someone (especially a child) who learns (as from a teacher) or takes up knowledge or beliefs,0,0,0,0,scholar
campaigner.n.01,1,a politician who is running for public office,0,0,0,1,candidate
write.v.02,1,communicate or express by writing,0,0,0,1,write
set.v.08,1,set to a certain position or cause to operate correctly,0,0,0,1,set
hold.v.31,1,cover as for protection against noise or smell,0,0,0,1,hold
model.v.03,1,assume a posture as for artistic purposes,0,1,0,1,model
research.v.01,1,attempt to find out in a systematically and scientific manner,0,1,0,1,research
distribute.v.01,1,"administer or bestow, as in small portions",0,0,0,1,administer
undergraduate.n.01,1,a university student who has not yet received a first degree,0,0,0,1,undergraduate
interior_designer.n.01,1,a person who specializes in designing architectural interiors and their furnishings,0,0,0,0,designer
defend.v.06,1,be the defense counsel for someone in a trial,0,0,0,0,defend
train.v.09,1,cause to grow in a certain way by tying and pruning it,0,1,1,0,train
host.v.01,1,be the host of or for,1,0,0,1,host
agent.n.05,1,any agent or representative of a federal agency or bureau,0,0,0,0,agent
critic.n.01,1,a person who is professionally engaged in the analysis and interpretation of works of art,1,0,0,0,critic
judge.v.05,1,put on trial or hear a case and sit as the judge at the trial of,0,0,0,0,try
department_of_education.n.01,1,the United States federal department that administers all federal programs dealing with education (including federal aid to educational institutions and students); created 1979,0,1,1,0,education
practice.v.01,1,carry out or practice; as of jobs and professions,0,0,0,0,practise
establish.v.08,1,use as a basis for; found on,0,0,0,0,base
native.a.03,1,characteristic of or relating to people inhabiting a region from the beginning,0,0,1,0,native
equate.v.02,1,"be equivalent or parallel, in mathematics",0,0,0,0,equate
create.v.04,1,"invest with a new title, office, or rank",0,0,0,1,create
call.v.02,1,ascribe a quality to or give a name of a common noun that reflects a quality,0,0,0,1,call
spread.v.10,1,distribute over a surface in a layer,0,0,0,0,spread
time.v.05,1,adjust so that a force is applied and an action occurs at the desired time,0,0,1,0,time
prove.v.02,1,"establish the validity of something, as by an example, explanation or experiment",0,0,1,0,establish
act.v.08,1,"be engaged in an activity, often for no particular purpose other than pleasure",0,1,1,0,act
co-winner,1,co-winner,0,0,0,1,co-winner
illuminate.v.03,1,add embellishments and paintings to (medieval manuscripts),1,0,0,0,illuminate
breeding.n.03,1,helping someone grow up to be an accepted member of the community,0,0,1,0,upbringing
position.v.01,1,"cause to be in an appropriate place, state, or relation",0,0,0,0,position
represent.v.04,1,"be a delegate or spokesperson for; represent somebody's interest or be a proxy or substitute for, as of politicians and office holders representing their constituents, or of a tenant representing other tenants in a housing dispute",0,0,0,0,represent
advocacy.n.01,1,active support of an idea or cause etc.; especially the act of pleading or arguing for something,0,0,0,0,advocacy
unionize.v.02,1,form or join a union,0,0,0,1,organize
ennoble.v.02,1,give a title to someone; make someone a member of the nobility,0,0,0,0,entitle
son.n.02,1,the divine word of God; the second person in the Trinity (incarnate in Jesus),0,0,0,0,son
novelist.n.01,1,one who writes novels,0,0,0,0,novelist
adviser.n.01,1,an expert who gives advice,0,0,1,1,consultant
retain.v.03,1,secure and keep for possible future use or application,0,0,0,1,hold
performer.n.01,1,an entertainer who performs a dramatic or musical work for an audience,0,0,1,0,performer
