state (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
research_worker.n.01,1,a scientist who devotes himself to doing research,0,0,1,1,researcher
production.n.04,1,(law) the act of exhibiting in a court of law,0,0,0,0,production
serve.v.05,1,help to some food; help with food or drink,0,0,0,0,help
form.v.01,1,create (as an entity),0,0,0,1,organize
urge.v.01,1,force or impel in an indicated direction,1,0,0,0,urge
depart.v.03,1,leave,0,0,0,0,part
model.v.04,1,display (clothes) as a mannequin,0,1,0,1,model
attend.v.02,1,take charge of or deal with,0,0,0,0,saw
teach.v.02,1,accustom gradually to some action or attitude,0,1,0,1,teach
administer.v.02,1,perform (a church sacrament) ritually,0,0,0,1,administer
undergraduate.n.01,1,a university student who has not yet received a first degree,0,0,0,1,undergraduate
academician.n.03,1,an educator who works at a college or university,0,0,0,0,academic
architect.n.01,1,someone who creates plans to be used in making something (such as buildings),0,0,0,0,designer
defend.v.02,1,be on the defensive; act against an attack,0,0,0,0,defend
discipline.v.01,1,develop (children's) behavior by instruction and practice; especially to teach self-control,0,1,1,0,train
novelist.n.01,1,one who writes novels,0,0,0,0,novelist
hosting,1,hosting,1,0,0,1,hosting
agent.n.01,1,an active and efficient cause; capable of producing a certain effect,0,0,0,0,agent
critic.n.01,1,a person who is professionally engaged in the analysis and interpretation of works of art,1,0,0,0,critic
refer.v.03,1,"think of, regard, or classify under a subsuming principle or with a general group or in relation to another",0,0,0,0,refer
help.v.01,1,give help or assistance; be of service,0,0,0,0,help
hear.v.03,1,examine or hear (evidence or a case) by judicial process,0,0,0,0,try
portrait.n.02,1,"any likeness of a person, in any medium",1,0,0,0,portrait
inhale.v.02,1,draw in (air),0,0,0,0,inspire
supporter.n.01,1,a person who backs a politician or a team etc.,0,1,0,0,friend
dialogue.n.03,1,a literary composition in the form of a conversation between two people,0,1,0,0,dialogue
affiliation.n.01,1,a social or business relationship,0,0,0,1,affiliation
candidate.n.02,1,someone who is considered for something (for an office or prize or honor etc.),0,0,0,1,candidate
character.n.04,1,an actor's portrayal of someone in a play,0,0,0,0,role
entitle.v.01,1,give the right to,0,0,0,0,entitle
son.n.02,1,the divine word of God; the second person in the Trinity (incarnate in Jesus),0,0,0,0,son
bootleg.v.01,1,sell illicit products such as drugs or alcohol,0,1,1,0,bootleg
record.v.01,1,make a record of; set down in permanent form,0,0,0,0,record
carry.v.29,1,"transfer (a number, cipher, or remainder) to the next column or unit's place before or after, in addition or multiplication",0,0,1,1,carry
adviser.n.01,1,an expert who gives advice,0,0,1,1,consultant
native.a.02,1,belonging to one by birth,0,0,1,0,native
record.v.02,1,register electronically,0,0,0,0,record
rehearse.v.01,1,engage in a rehearsal (of),0,0,0,0,practise
relationship.n.01,1,"a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)",0,1,0,0,relationship
educate.v.01,1,give an education to,0,0,1,0,educate
administrator.n.01,1,someone who administers a business,0,0,1,0,administrator
successful.a.01,1,having succeeded or being marked by a favorable outcome,0,0,0,0,successful
translator.n.01,1,a person who translates written messages from one language to another,0,0,1,0,translator
commentator.n.02,1,a writer who reports and analyzes events of the day,0,0,1,0,commentator
live.v.02,1,lead a certain kind of life; live in a certain style,1,0,1,0,live
performer.n.01,1,an entertainer who performs a dramatic or musical work for an audience,0,0,1,0,performer
