targets,event (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
migrate,migrate.v.01,1,move from one country or region to another and settle there,0,0,1,0,migrate
build,build.v.05,1,"order, supervise, or finance the construction of",0,0,1,0,build
bundle,bundle.v.04,1,sleep fully clothed in the same bed with one's betrothed,0,0,0,0,bundle
instal,install.v.03,1,place,0,0,0,0,instal
identify,identify.v.01,1,recognize as being; establish the identity of someone or something,0,0,0,0,identify
implement,follow_through.v.02,1,pursue to a conclusion or bring to a successful issue,0,0,0,0,implement
cash,cash.v.01,1,exchange for cash,0,0,0,0,cash
induct,induct.v.03,1,admit as a member,0,0,0,1,induct
influence,influence.v.01,1,have and exert influence or effect,0,0,0,0,influence
ink,ink.v.01,1,append one's signature to,0,0,0,0,ink
inspire,prompt.v.02,1,serve as the inciting cause of,0,0,0,0,inspire
interview,interview.v.03,1,go for an interview in the hope of being hired,0,0,0,0,interview
link,yoke.v.02,1,link with or as with a yoke,0,0,0,0,link
introduce,introduce.v.07,1,"bring before the public for the first time, as of an actor, song, etc.",0,0,0,0,introduce
invitation,invitation.n.01,1,a request (spoken or written) to participate or be present or take part in something,0,0,0,1,invitation
invite,tempt.v.03,1,give rise to a desire by being attractive or inviting,0,0,0,1,invite
able,able.s.02,1,have the skills and qualifications to do things well,0,0,0,0,able
know,know.v.03,1,be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt,0,0,0,0,know
bury,bury.v.03,1,place in the earth and cover with soil,0,0,0,1,bury
lie,lie.v.06,1,have a place in relation to something else,1,0,0,1,lie
abandon,abandon.v.05,1,leave someone who needs or counts on you; leave in the lurch,0,0,0,0,abandon
